categoria,puntos,frecuencia_pct
RESUMEN - Clasificados,3.6,
RESUMEN - Mínimo clasificado,1.0,
RESUMEN - Máximo clasificado,6.0,
RESUMEN - Máximo eliminado,4.0,
Clasificado (top 8),1.0,0.0
Clasificado (top 8),2.0,0.66
Clasificado (top 8),3.0,46.93
Clasificado (top 8),4.0,47.87
Clasificado (top 8),5.0,0.56
Clasificado (top 8),6.0,3.99
Eliminado,1.0,17.34
Eliminado,2.0,33.98
Eliminado,3.0,48.53
Eliminado,4.0,0.15
